age,room_service,food_court,shopping_mall,spa,vr_deck,name,earth,europa,mars,unknown,cryo_sleep_false,cryo_sleep_true,cryo_sleep_unknown,num,deck_a,deck_b,deck_c,deck_d,deck_e,deck_f,deck_g,deck_t,deck_unknown,side_p,side_s,side_unknown,destination_55_cancri_e,destination_pso_j318_5_22,destination_trappist_1_e,destination_unknown,vip_false,vip_true,transported_false,transported_true
28.0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
31.0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,1,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
27.0,1286.0,122.0,,0.0,0.0,Flats Eccle,0,0,1,0,1,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
24.0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,1,0,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
45.0,0.0,0.0,0.0,0.0,0.0,Alus Upead,0,0,1,0,0,1,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
0.0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
14.0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,1,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0
1.0,0.0,0.0,0.0,0.0,0.0,Almary Brantuarez,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
49.0,0.0,0.0,0.0,0.0,0.0,Glendy Brantuarez,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
29.0,0.0,0.0,,0.0,0.0,Mollen Mcfaddennon,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
10.0,0.0,0.0,0.0,0.0,0.0,Breney Jacostanley,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
1.0,,0.0,0.0,0.0,0.0,Mael Brantuarez,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0
7.0,0.0,0.0,0.0,0.0,0.0,Terta Mcfaddennon,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
21.0,980.0,2.0,69.0,0.0,0.0,,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
62.0,0.0,0.0,,0.0,0.0,Penton Fullided,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
15.0,0.0,225.0,0.0,998.0,0.0,Karard Brookenson,1,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
34.0,22.0,6073.0,0.0,1438.0,328.0,Anyoni Unconary,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
43.0,1125.0,0.0,136.0,48.0,0.0,Ceros Mare,0,0,1,0,1,0,0,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
32.0,0.0,850.0,81.0,437.0,453.0,Ginia Morsentley,1,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
47.0,214.0,0.0,1411.0,0.0,1229.0,Coobix Datie,0,0,1,0,1,0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
2.0,0.0,0.0,0.0,0.0,0.0,Cinets Datie,0,0,1,0,1,0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
20.0,,0.0,1750.0,990.0,0.0,Dontch Datie,0,0,1,0,1,0,0,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
28.0,0.0,0.0,0.0,0.0,0.0,Ziba Oingwhedly,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
23.0,784.0,964.0,0.0,951.0,0.0,Luse Butte,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0
15.0,0.0,492.0,48.0,20.0,401.0,Marina Leodger,1,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
20.0,554.0,195.0,0.0,2606.0,0.0,Loise Wheelez,1,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
30.0,0.0,0.0,,0.0,0.0,Jorgie Batthewitt,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
17.0,0.0,0.0,0.0,0.0,0.0,Margia Moodsey,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
45.0,0.0,164.0,45.0,2511.0,855.0,Ankalik Cylistrand,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
55.0,0.0,0.0,0.0,0.0,0.0,Jodye Coopelandez,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
4.0,0.0,0.0,0.0,0.0,0.0,Kayne Coopelandez,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1
21.0,0.0,0.0,0.0,0.0,0.0,Cassa Coopelandez,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1
21.0,970.0,0.0,180.0,0.0,64.0,Zelowl Chmad,0,0,1,0,1,0,0,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
19.0,0.0,0.0,0.0,0.0,0.0,Mass Chmad,0,0,1,0,0,1,0,10,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
35.0,790.0,0.0,0.0,,0.0,Sony Lancis,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
56.0,0.0,112.0,0.0,1379.0,127.0,Vivia Johnshines,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
,4.0,0.0,2.0,4683.0,0.0,Elaney Hubbarton,1,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
25.0,0.0,0.0,1938.0,0.0,1.0,Elson Hickerson,1,0,0,0,1,0,0,11,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
2.0,0.0,0.0,0.0,0.0,0.0,Okulas Tractive,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
38.0,0.0,0.0,0.0,0.0,0.0,Instab Tractive,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
27.0,279.0,605.0,3374.0,286.0,3.0,Zinoces Tractive,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
36.0,0.0,0.0,0.0,0.0,0.0,Warry Ayalazquez,1,0,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
22.0,45.0,1096.0,148.0,1377.0,1.0,Shanya Salez,1,0,0,0,1,0,0,12,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
62.0,0.0,592.0,0.0,17.0,25.0,Sterry Greeves,1,0,0,0,1,0,0,13,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
15.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,0,1,0,14,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
33.0,0.0,0.0,,0.0,0.0,Colatz Keen,0,0,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
62.0,1.0,153.0,197.0,0.0,460.0,Diandy Pecketton,1,0,0,0,1,0,0,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,Ninaha Leeves,1,0,0,0,0,1,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
18.0,1.0,258.0,446.0,0.0,0.0,Celine Leeves,1,0,0,0,1,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
21.0,1946.0,37.0,0.0,0.0,24.0,Velyne Leeves,1,0,0,0,1,0,0,15,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
,793.0,0.0,2.0,253.0,0.0,Cinst Binie,0,0,1,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
42.0,887.0,0.0,9.0,6.0,0.0,,1,0,0,0,1,0,0,16,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
19.0,190.0,0.0,5.0,1.0,726.0,Meremy Brighttt,1,0,0,0,1,0,0,13,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
17.0,16.0,2165.0,0.0,0.0,52.0,Nelly Dillines,1,0,0,0,1,0,0,14,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
14.0,0.0,1.0,0.0,0.0,1063.0,Thell Brantuarez,1,0,0,0,1,0,0,17,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
37.0,46.0,83.0,738.0,0.0,12.0,Gorn Make,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
42.0,1.0,8397.0,0.0,0.0,506.0,Aldibah Mostedry,0,1,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
27.0,147.0,0.0,1018.0,0.0,0.0,Conk Dal,0,0,1,0,1,0,0,18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
28.0,14.0,0.0,1295.0,0.0,0.0,Pon Blité,0,0,1,0,1,0,0,15,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
38.0,0.0,5840.0,0.0,321.0,9654.0,Spuri Pokerheed,0,1,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
13.0,0.0,0.0,0.0,0.0,0.0,Dellie Vinozarks,1,0,0,0,0,1,0,13,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
42.0,7406.0,0.0,0.0,0.0,0.0,Totse Datte,0,0,1,0,1,0,0,16,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
2.0,0.0,0.0,0.0,0.0,0.0,Eaturs Datte,0,0,1,0,0,1,0,16,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
8.0,0.0,0.0,0.0,0.0,0.0,,0,0,1,0,1,0,0,16,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
24.0,688.0,0.0,0.0,0.0,17.0,Coren Coopezmaney,1,0,0,0,1,0,0,14,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
40.0,0.0,0.0,0.0,0.0,0.0,Furudah Ellcefulve,0,1,0,0,0,1,0,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
43.0,211.0,0.0,0.0,638.0,513.0,Jodye Kinson,1,0,0,0,1,0,0,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
45.0,0.0,0.0,0.0,0.0,0.0,Stmeal Sacre,0,0,1,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
35.0,0.0,0.0,0.0,0.0,0.0,Heremy Santry,1,0,0,0,0,1,0,15,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
26.0,,0.0,0.0,0.0,0.0,Deanne Yorkland,1,0,0,0,0,1,0,16,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
27.0,1.0,697.0,31.0,188.0,0.0,Tinez Yorkland,1,0,0,0,1,0,0,20,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
19.0,0.0,0.0,670.0,1.0,34.0,Gracy Dunnisey,1,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
0.0,0.0,0.0,,0.0,0.0,Stald Hewson,1,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
3.0,0.0,0.0,0.0,0.0,0.0,Tiney Hewson,1,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
54.0,0.0,1208.0,0.0,3.0,637.0,Alchium Fictful,0,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
26.0,0.0,856.0,5.0,32.0,0.0,Doria Carezquez,1,0,0,0,1,0,0,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
26.0,0.0,2811.0,957.0,0.0,87.0,Leence Carezquez,1,0,0,0,1,0,0,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
23.0,311.0,427.0,526.0,37.0,0.0,Aliey Leetersoney,1,0,0,0,1,0,0,19,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
2.0,0.0,0.0,0.0,0.0,0.0,Thewis Connelson,1,0,0,0,0,0,1,12,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
31.0,0.0,0.0,0.0,0.0,0.0,Book Trad,0,0,1,0,0,1,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1
18.0,0.0,0.0,0.0,830.0,91.0,Ritany Holson,1,0,0,0,1,0,0,23,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
24.0,0.0,,0.0,0.0,17.0,Arlen Mclainez,1,0,0,0,1,0,0,24,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
9.0,0.0,0.0,0.0,0.0,0.0,Shaele Mclainez,1,0,0,0,0,1,0,18,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
6.0,0.0,0.0,0.0,0.0,0.0,Fanne Mclainez,1,0,0,0,0,1,0,18,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
27.0,0.0,0.0,570.0,2.0,131.0,Carry Cleachrand,1,0,0,0,0,0,1,21,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
21.0,1743.0,5.0,17.0,0.0,0.0,Coobix Hart,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
23.0,0.0,0.0,0.0,0.0,0.0,Natald Handertiz,1,0,0,0,0,1,0,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
31.0,562.0,0.0,326.0,0.0,0.0,,1,0,0,0,1,0,0,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,Oline Handertiz,1,0,0,0,1,0,0,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
32.0,0.0,410.0,6.0,3929.0,764.0,Graviph Aloubtled,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
40.0,0.0,331.0,0.0,0.0,1687.0,Aldeba Bootious,0,1,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
42.0,2209.0,11418.0,0.0,1868.0,445.0,Alaratz Aloubtled,0,1,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
28.0,0.0,0.0,0.0,0.0,0.0,Izark Aloubtled,0,1,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
29.0,0.0,0.0,0.0,0.0,0.0,Aldera Supred,0,1,0,0,0,1,0,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
48.0,0.0,2537.0,87.0,17.0,13.0,Moth Cowtale,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
64.0,0.0,0.0,804.0,0.0,0.0,Idary Carvis,1,0,0,0,1,0,0,23,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
27.0,82.0,157.0,429.0,238.0,1.0,Maura Beckerson,1,0,0,0,1,0,0,20,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
26.0,0.0,0.0,0.0,0.0,,Rohs Pead,0,0,1,0,0,0,1,24,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
33.0,1.0,2223.0,0.0,12.0,404.0,Alhenah Suptive,0,1,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
39.0,0.0,2344.0,0.0,65.0,6898.0,Batan Coning,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
13.0,0.0,0.0,0.0,0.0,0.0,Kleeiak Coning,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
24.0,0.0,0.0,0.0,0.0,,Bees Sacre,0,0,1,0,0,1,0,25,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
29.0,0.0,0.0,0.0,699.0,74.0,Shelle Hayder,1,0,0,0,1,0,0,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
18.0,55.0,597.0,49.0,0.0,1.0,Iree Fielson,1,0,0,0,1,0,0,27,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
67.0,0.0,0.0,0.0,0.0,0.0,Milly Mish,0,0,1,0,0,1,0,27,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
35.0,701.0,0.0,296.0,0.0,25.0,Miloss Mesty,0,0,1,0,1,0,0,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
61.0,2353.0,334.0,9.0,316.0,2.0,Grohs Fles,0,0,1,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
45.0,2103.0,6.0,0.0,0.0,0.0,Barave Fles,0,0,1,0,1,0,0,8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
22.0,0.0,0.0,,0.0,0.0,Race Fowles,1,0,0,0,0,1,0,22,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
19.0,0.0,0.0,0.0,0.0,0.0,Flynx Blie,0,0,1,0,0,1,0,29,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
36.0,2738.0,0.0,0.0,0.0,0.0,Egrasp Blie,0,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
19.0,0.0,14.0,730.0,0.0,0.0,Camina Harmontry,1,0,0,0,1,0,0,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
47.0,97.0,418.0,126.0,25.0,55.0,,1,0,0,0,1,0,0,23,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
13.0,0.0,0.0,0.0,0.0,0.0,Fayene Gambs,1,0,0,0,0,1,0,18,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
34.0,0.0,22.0,0.0,564.0,207.0,Monah Gambs,1,0,0,0,1,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
35.0,0.0,0.0,0.0,0.0,0.0,Charda Myling,0,1,0,0,0,1,0,6,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
24.0,0.0,0.0,0.0,0.0,0.0,Evaley Mejiaddox,1,0,0,0,0,1,0,19,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
26.0,440.0,0.0,0.0,0.0,462.0,Verney Whitakers,1,0,0,0,1,0,0,29,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
31.0,,0.0,97.0,0.0,0.0,Pyrohs Harte,0,0,1,0,1,0,0,30,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
20.0,0.0,420.0,210.0,0.0,0.0,Guadae Dayers,1,0,0,0,1,0,0,31,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
56.0,0.0,0.0,0.0,0.0,0.0,Verly Wolferguson,1,0,0,0,1,0,0,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0
50.0,0.0,0.0,0.0,0.0,0.0,Samie Hubbarrison,1,0,0,0,0,1,0,26,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
42.0,1072.0,0.0,10.0,0.0,76.0,Corsh Pashe,0,0,1,0,1,0,0,31,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0
,0.0,0.0,0.0,0.0,0.0,Billya Hubbarrison,1,0,0,0,0,1,0,27,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
38.0,0.0,0.0,0.0,0.0,0.0,Shanie Simson,1,0,0,0,0,1,0,20,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0
41.0,0.0,0.0,0.0,0.0,607.0,Andan Estron,1,0,0,0,1,0,0,32,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0
22.0,4119.0,0.0,0.0,0.0,61.0,Gory Atkinney,1,0,0,0,1,0,0,22,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
26.0,0.0,0.0,0.0,0.0,0.0,Kabiton Hetforhaft,0,1,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
17.0,0.0,0.0,0.0,0.0,0.0,Scharab Hetforhaft,0,1,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1
57.0,50.0,1688.0,0.0,,135.0,Fany Hutchinton,1,0,0,0,1,0,0,28,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1
17.0,0.0,0.0,0.0,0.0,0.0,Ianya Hutchinton,1,0,0,0,0,1,0,28,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
35.0,0.0,0.0,0.0,0.0,0.0,Graven Anche,0,0,1,0,0,1,0,37,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
13.0,0.0,0.0,0.0,0.0,0.0,Miten Floaf,0,0,1,0,0,1,0,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
27.0,1365.0,0.0,48.0,22.0,137.0,Rios Floaf,0,0,1,0,1,0,0,35,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
31.0,0.0,0.0,0.0,0.0,0.0,Wandy Fisherry,1,0,0,0,0,1,0,23,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0
24.0,0.0,0.0,0.0,221.0,567.0,Mollie Mcmahoney,1,0,0,0,1,0,0,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
19.0,0.0,0.0,0.0,0.0,0.0,Coracy Gordanieves,1,0,0,0,0,1,0,30,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1
32.0,0.0,0.0,0.0,0.0,0.0,Hanna Johnshines,1,0,0,0,0,1,0,24,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
58.0,0.0,985.0,0.0,5.0,0.0,Hilip Grifford,1,0,0,0,0,0,1,11,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
